Product Number,Name,Price,Original Price,Ratings,Viewers
189,"Open Box - Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",849.99,,0,0
190,"Open Box - LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",549.99,594.99,3,2
191,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022",339.99,,4,4
192,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black",1499.97,,4.53,157
193,"Samsung 77"" 4K UHD HDR OLED Tizen Smart TV(QN77S95CAFXZC) - 2023 - Titan Black",5499.99,5999.99,4.66,265
194,"Sony 75"" 4K UHD HDR Mini-LED Smart Google TV (XR75X93L) - 2023",3799.99,4199.99,0,0
195,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S95CAFXZC) - 2023 - Titan Black",3499.99,3999.99,4.59,222
196,"LG G3 83"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED83G3PUA) - 2023 - Satin Silver",7499.99,7999.99,4.63,103
197,"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022",829.99,,4.73,612
198,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BSFXZC) - Disney Edition - 2023",2799.99,,0,0
199,"Sony X80K 85"" 4K UHD HDR LED Smart Google TV (KD85X80K) - 2022",2199.99,,4.72,370
200,"Samsung The Serif 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS01BAFXZC) - 2022 - Cloud White",2399.99,2599.99,4.83,53
201,"Hisense U68K Series 50"" 4K UHD HDR QLED Smart Google TV (50U68K) - 2023",529.99,,0,0
202,"Sony BRAVIA XR A90K 42"" 4K UHD HDR OLED Smart Google TV (XR42A90K) - 2022",1749.99,,4.75,234
203,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU8000FXZC) - 2023",2299.99,2499.99,4.65,426
204,"Sony 83"" 4K UHD HDR OLED Smart Google TV (XR83A80L) - 2023",6499.99,7399.99,0,0
205,"Samsung 50"" 4K UHD HDR Neo QLED Tizen Smart TV (QN50QN90CAFXZC) - 2023 - Titan Black",1899.99,1999.99,4.75,69
206,"Open Box - LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C2PUA) - 2022 - Dark Titan Silver",2039.99,,0,0
207,"Hisense 55"" 4K UHD HDR QLED Mini-LED Smart Google TV (55U68KM) - 2023",699.99,,5,2
208,"TCL Q5 65"" 4K UHD HDR QLED Google TV Smart TV (65Q550G-CA) - 2023",699.99,,0,0
209,"LG 83"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED83C3PUA) - 2023",6999.99,,4.7,127
210,"Sony X85K 85"" 4K UHD HDR LED Smart Google TV (KD85X85K) - 2022",2499.99,,4.66,380
211,"Hisense 75"" 4K UHD HDR QLED Mini-LED Smart Google TV (75U78KM) - 2023",1699.99,,0,0
212,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey",849.99,,3.38,29
213,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU8000FXZC) - 2023",749.99,,4.62,370
